product_id	review_id	star_rating	distance_original	distance_opposite	distance_adjusted	similarity_score	product_similarity_score	product_title	review_body
B00MYBPSH8	RLC0UOQBIGFNB	4.0	0.11540842	0.26216465	0.11540842056274414	0.04975245483920365	0.06086119116140101	Haby Women High Waist Sports Tights Workout Running Pant Legging	They look great!  Gym friends always have positive comments when I wear them.
B00MYBPSH8	RUPKOOBRCIZ16	5.0	0.1168049	0.25916278	0.11680489778518677	0.0382541686133937	0.06086119116140101	Haby Women High Waist Sports Tights Workout Running Pant Legging	Ordered my normal size, fit as expected, good quality, would order again!
B00MYBPSH8	R2OZ32NTS8OC71	4.0	0.12006593	0.25465888	0.12006592750549316	0.011403567320112606	0.06086119116140101	Haby Women High Waist Sports Tights Workout Running Pant Legging	They do run a tad small, but not enough to make a huge difference. They're comfortable and I like the higher waste band:) LOVE the crazy print!
B00MO0ON16	R1YTF3ZWE0JTAZ	5.0	0.112103105	0.280809	0.11210310459136963	0.07696769938084258	0.05306516268094748	iLoveSIA Women's Yoga Running Tights Leggings Sports Pants US Size L Black	These leggins turned out much better than I expected.  They're really comfortable, NOT SHEER and even flattens the belly a bit. Highly recommended
B00MO0ON16	R1G8DIB95CHIM9	4.0	0.11211401	0.2666344	0.11211401224136353	0.07687788819046648	0.05306516268094748	iLoveSIA Women's Yoga Running Tights Leggings Sports Pants US Size L Black	Fit well, look nice and the material is not to thin but tend to slip down at the waist.
B00MO0ON16	R17E3VNZ34AH8P	4.0	0.1164422	0.25977147	0.11644220352172852	0.041240513386284317	0.05306516268094748	iLoveSIA Women's Yoga Running Tights Leggings Sports Pants US Size L Black	a little loose in the waist but otherwise well made, good cut.
B00MO0ON16	R3AR8IU1A5CSM2	5.0	0.11718041	0.25485027	0.11718040704727173	0.03516230796109954	0.05306516268094748	iLoveSIA Women's Yoga Running Tights Leggings Sports Pants US Size L Black	"I don't understand how these reviews can vary so much...but I love these leggings as they are thicker, well made, and super comfortable. They feel more ""tailored"" than your average leggings, are not see through, and are really really black. The waist band is not tight, maybe loose, but it makes them extra comfy. I could see some problems with a higher intensity workout I guess."
B00MO0ON16	R649K3ZW19CVH	4.0	0.11719072	0.26683003	0.11719071865081787	0.03507740448604446	0.05306516268094748	iLoveSIA Women's Yoga Running Tights Leggings Sports Pants US Size L Black	"The leggings are thicker than expected and totally opaque. They feel nice on and are a good length (I'm 5' 7""). I probably could have gone down a size, but I am happy with these."
B00D3Q79L6	RBLZ19MGD5JPX	5.0	0.115082026	0.26500404	0.1150820255279541	0.052439919749039055	0.052439919749039055	Zenana Women's Cotton Spandex Jersey Camouflage Leggings	These leggings fit perfect. Great for Saturday errands. They may be a little see thru, so mind your under garments.
B00J3F2Z1A	R15YVPEKXDAWGQ	5.0	0.11528063	0.25946575	0.1152806282043457	0.0508046690040479	0.0508046690040479	D&K Monarchy Women's Seamless Capri Thin Leggings	Excellent fabric, thin and smooth, beautiful color. Good for summer. Fits perfect.
B0072LD7X2	R22TV1NZHH5LOO	4.0	0.115397155	0.25056338	0.11539715528488159	0.049845210658772454	0.049845210658772454	ToBeInStyle Women's Footless Elastic Legging	Yeahp... they are really easy to see through. Nice material and fit nicely and as expected. So if you girls wanna show off your thong, here your tights for sure.
